Year,Country / territory of asylum/residence,Origin,Refugees (incl. refugee-like situations),Asylum-seekers (pending cases),Returned refugees,Internally displaced persons (IDPs),Returned IDPs,Stateless persons,Others of concern,Total Population
#date+year,#country+residence,#country+origin,#affected+refugees,#affected+asylum,#affected+returned_refugees,#affected+idps,#affected+returned_idps,#affected+stateless,#affected+others,#affected+total
1968,Lebanon,Syrian Arab Rep.,1200,,,,,,,1200
1969,Lebanon,Syrian Arab Rep.,1200,,,,,,,1200
1979,Lebanon,Syrian Arab Rep.,500,,,,,,,500
1980,Italy,Syrian Arab Rep.,2,,,,,,,2
1980,Lebanon,Syrian Arab Rep.,500,,,,,,,500
1981,Italy,Syrian Arab Rep.,4,,,,,,,4
1981,Lebanon,Syrian Arab Rep.,500,,,,,,,500
1982,Italy,Syrian Arab Rep.,4,,,,,,,4
1982,Lebanon,Syrian Arab Rep.,500,,6000,,,,,6500
1983,Italy,Syrian Arab Rep.,6,,,,,,,6
1983,Lebanon,Syrian Arab Rep.,520,,,,,,,520
1984,Italy,Syrian Arab Rep.,9,,,,,,,9
1984,Lebanon,Syrian Arab Rep.,520,,,,,,,520
1985,Iraq,Syrian Arab Rep.,2000,,,,,,,2000
1985,Italy,Syrian Arab Rep.,9,,,,,,,9
1985,Lebanon,Syrian Arab Rep.,590,,,,,,,590
1986,Italy,Syrian Arab Rep.,14,,,,,,,14
1986,Lebanon,Syrian Arab Rep.,520,,,,,,,520
1986,Various/Unknown,Syrian Arab Rep.,,,70,,,,,70
1987,Italy,Syrian Arab Rep.,20,,,,,,,20
1988,United Kingdom,Syrian Arab Rep.,22,,,,,,,22
1988,Greece,Syrian Arab Rep.,60,,,,,,,60
1988,Italy,Syrian Arab Rep.,27,,,,,,,27
1988,Lebanon,Syrian Arab Rep.,520,,,,,,,520
1988,United States of America,Syrian Arab Rep.,252,,,,,,,252
1989,Denmark,Syrian Arab Rep.,11,,,,,,,11
1989,United Kingdom,Syrian Arab Rep.,13,,,,,,,13
1989,Greece,Syrian Arab Rep.,100,,,,,,,100
1989,Italy,Syrian Arab Rep.,34,,,,,,,34
1989,United States of America,Syrian Arab Rep.,239,,,,,,,239
1990,Denmark,Syrian Arab Rep.,46,,,,,,,46
1990,United Kingdom,Syrian Arab Rep.,17,,,,,,,17
1990,Italy,Syrian Arab Rep.,32,,,,,,,32
1990,Sweden,Syrian Arab Rep.,1796,,,,,,,1796
1990,United States of America,Syrian Arab Rep.,257,,,,,,,257
1991,Denmark,Syrian Arab Rep.,71,,,,,,,71
1991,Spain,Syrian Arab Rep.,34,,,,,,,34
1991,United Kingdom,Syrian Arab Rep.,16,,,,,,,16
1991,Italy,Syrian Arab Rep.,32,,,,,,,32
1991,Sweden,Syrian Arab Rep.,2679,,,,,,,2679
1991,United States of America,Syrian Arab Rep.,205,,,,,,,205
1992,Denmark,Syrian Arab Rep.,108,,,,,,,108
1992,Spain,Syrian Arab Rep.,31,,,,,,,31
1992,United Kingdom,Syrian Arab Rep.,9,,,,,,,9
1992,Italy,Syrian Arab Rep.,36,,,,,,,36
1992,Netherlands,Syrian Arab Rep.,913,,,,,,,913
1992,Sweden,Syrian Arab Rep.,3157,,,,,,,3157
1992,United States of America,Syrian Arab Rep.,154,,,,,,,154
1993,United Arab Emirates,Syrian Arab Rep.,21,,,,,,,21
1993,Burkina Faso,Syrian Arab Rep.,5,,,,,,,5
1993,Bulgaria,Syrian Arab Rep.,1,,,,,,,1
1993,Côte d'Ivoire,Syrian Arab Rep.,3,,,,,,,3
1993,Denmark,Syrian Arab Rep.,129,,,,,,,129
1993,Ecuador,Syrian Arab Rep.,12,,,,,,,12
1993,Egypt,Syrian Arab Rep.,3,,,,,,,3
1993,Spain,Syrian Arab Rep.,38,,,,,,,38
1993,United Kingdom,Syrian Arab Rep.,9,,,,,,,9
1993,Greece,Syrian Arab Rep.,125,,,,,,,125
1993,Italy,Syrian Arab Rep.,35,,,,,,,35
1993,Netherlands,Syrian Arab Rep.,1040,,,,,,,1040
1993,Peru,Syrian Arab Rep.,3,,,,,,,3
1993,Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,3,,,,,,,3
1993,Sweden,Syrian Arab Rep.,3216,,,,,,,3216
1993,United States of America,Syrian Arab Rep.,757,,,,,,,757
1993,Venezuela (Bolivarian Republic of),Syrian Arab Rep.,4,,,,,,,4
1994,United Arab Emirates,Syrian Arab Rep.,16,,,,,,,16
1994,Belgium,Syrian Arab Rep.,,,1,,,,,1
1994,Bulgaria,Syrian Arab Rep.,26,,,,,,,26
1994,Canada,Syrian Arab Rep.,415,,,,,,,415
1994,Côte d'Ivoire,Syrian Arab Rep.,3,,,,,,,3
1994,Denmark,Syrian Arab Rep.,129,,,,,,,129
1994,Ecuador,Syrian Arab Rep.,13,,,,,,,13
1994,Egypt,Syrian Arab Rep.,5,,,,,,,5
1994,Spain,Syrian Arab Rep.,32,,,,,,,32
1994,United Kingdom,Syrian Arab Rep.,5,,,,,,,5
1994,Greece,Syrian Arab Rep.,118,,,,,,,118
1994,Italy,Syrian Arab Rep.,35,,,,,,,35
1994,Jordan,Syrian Arab Rep.,1,,1,,,,,2
1994,Malta,Syrian Arab Rep.,2,,,,,,,2
1994,Netherlands,Syrian Arab Rep.,1134,,,,,,,1134
1994,Pakistan,Syrian Arab Rep.,,,6,,,,,6
1994,Peru,Syrian Arab Rep.,3,,,,,,,3
1994,Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2,,1,,,,,3
1994,Sweden,Syrian Arab Rep.,3384,,,,,,,3384
1994,United States of America,Syrian Arab Rep.,1760,,,,,,,1760
1994,Venezuela (Bolivarian Republic of),Syrian Arab Rep.,4,,,,,,,4
1995,Albania,Syrian Arab Rep.,3,,,,,,,3
1995,United Arab Emirates,Syrian Arab Rep.,13,,,,,,,13
1995,Bulgaria,Syrian Arab Rep.,31,,,,,,,31
1995,Canada,Syrian Arab Rep.,365,,,,,,,365
1995,Denmark,Syrian Arab Rep.,129,,,,,,,129
1995,Ecuador,Syrian Arab Rep.,15,,,,,,,15
1995,Egypt,Syrian Arab Rep.,2,,,,,,,2
1995,Spain,Syrian Arab Rep.,24,,,,,,,24
1995,France,Syrian Arab Rep.,213,,,,,,,213
1995,United Kingdom,Syrian Arab Rep.,5,,,,,,,5
1995,Italy,Syrian Arab Rep.,41,,,,,,,41
1995,Libya,Syrian Arab Rep.,57,,,,,,,57
1995,Morocco,Syrian Arab Rep.,1,,,,,,,1
1995,Malta,Syrian Arab Rep.,4,,,,,,,4
1995,Netherlands,Syrian Arab Rep.,1274,,,,,,,1274
1995,New Zealand,Syrian Arab Rep.,7,,,,,,,7
1995,Peru,Syrian Arab Rep.,3,,,,,,,3
1995,Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,1,,,,,,,1
1995,Sweden,Syrian Arab Rep.,3364,,,,,,,3364
1995,Tunisia,Syrian Arab Rep.,5,,,,,,,5
1995,Turkey,Syrian Arab Rep.,43,,,,,,,43
1995,United States of America,Syrian Arab Rep.,2394,,,,,,,2394
1996,Albania,Syrian Arab Rep.,3,,,,,,,3
1996,United Arab Emirates,Syrian Arab Rep.,11,,1,,,,,12
1996,Australia,Syrian Arab Rep.,18,,,,,,,18
1996,Belgium,Syrian Arab Rep.,238,,,,,,,238
1996,Bulgaria,Syrian Arab Rep.,37,,,,,,,37
1996,Canada,Syrian Arab Rep.,340,,,,,,,340
1996,Denmark,Syrian Arab Rep.,127,,,,,,,127
1996,Ecuador,Syrian Arab Rep.,15,,,,,,,15
1996,Spain,Syrian Arab Rep.,7,,,,,,,7
1996,France,Syrian Arab Rep.,192,,,,,,,192
1996,United Kingdom,Syrian Arab Rep.,5,,,,,,,5
1996,Italy,Syrian Arab Rep.,36,,,,,,,36
1996,Libya,Syrian Arab Rep.,80,,,,,,,80
1996,Morocco,Syrian Arab Rep.,1,,,,,,,1
1996,Malta,Syrian Arab Rep.,5,,,,,,,5
1996,Netherlands,Syrian Arab Rep.,1502,,,,,,,1502
1996,New Zealand,Syrian Arab Rep.,7,,,,,,,7
1996,Peru,Syrian Arab Rep.,3,,,,,,,3
1996,Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,1,,,,,,,1
1996,Sweden,Syrian Arab Rep.,3240,,,,,,,3240
1996,Tunisia,Syrian Arab Rep.,5,,,,,,,5
1996,Turkey,Syrian Arab Rep.,33,,,,,,,33
1996,United States of America,Syrian Arab Rep.,2703,,,,,,,2703
1997,Albania,Syrian Arab Rep.,3,,,,,,,3
1997,United Arab Emirates,Syrian Arab Rep.,10,,,,,,,10
1997,Australia,Syrian Arab Rep.,26,,,,,,,26
1997,Belgium,Syrian Arab Rep.,238,,,,,,,238
1997,Bulgaria,Syrian Arab Rep.,1,,,,,,,1
1997,Canada,Syrian Arab Rep.,324,,,,,,,324
1997,Côte d'Ivoire,Syrian Arab Rep.,3,,,,,,,3
1997,Denmark,Syrian Arab Rep.,145,,,,,,,145
1997,Algeria,Syrian Arab Rep.,2,,,,,,,2
1997,Ecuador,Syrian Arab Rep.,15,,,,,,,15
1997,Egypt,Syrian Arab Rep.,2,,,,,,,2
1997,Spain,Syrian Arab Rep.,8,,,,,,,8
1997,France,Syrian Arab Rep.,196,,,,,,,196
1997,United Kingdom,Syrian Arab Rep.,5,,,,,,,5
1997,Italy,Syrian Arab Rep.,34,,,,,,,34
1997,Kazakhstan,Syrian Arab Rep.,3,,,,,,,3
1997,Malta,Syrian Arab Rep.,5,,,,,,,5
1997,Netherlands,Syrian Arab Rep.,1636,,,,,,,1636
1997,Norway,Syrian Arab Rep.,50,,,,,,,50
1997,New Zealand,Syrian Arab Rep.,20,,,,,,,20
1997,Peru,Syrian Arab Rep.,3,,,,,,,3
1997,Poland,Syrian Arab Rep.,14,,,,,,,14
1997,Romania,Syrian Arab Rep.,2,,,,,,,2
1997,Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,1,,,,,,,1
1997,Sweden,Syrian Arab Rep.,3165,,,,,,,3165
1997,Tunisia,Syrian Arab Rep.,5,,,,,,,5
1997,United States of America,Syrian Arab Rep.,2737,,,,,,,2737
1998,Albania,Syrian Arab Rep.,3,,,,,,,3
1998,United Arab Emirates,Syrian Arab Rep.,4,,,,,,,4
1998,Australia,Syrian Arab Rep.,34,,,,,,,34
1998,Austria,Syrian Arab Rep.,91,,,,,,,91
1998,Belgium,Syrian Arab Rep.,105,,,,,,,105
1998,Bulgaria,Syrian Arab Rep.,1,,,,,,,1
1998,Belarus,Syrian Arab Rep.,,,,,,,1,1
